,,,,,,,"CLIENTE:","=$CAPA.G27",,,," PROJETO:","=$CAPA.A31",,,"VERIFICADO:","ALEXANDRE MANDUCA",
"=A272+1","Z2S06PDSH","571LQ04.PS1","UNIDADE DE LUBRIFICAÇÃO DO SEPARADOR - Z2S06","ENTUPIMENTO DO FILTRO DE ÓLEO","PRESSOSTATO DIFERENCIAL","120Vca","-","-",,,,,,,,,,
"=A273+1","Z2S06PT","-","UNIDADE DE LUBRIFICAÇÃO DO SEPARADOR - Z2S06","PRESSÃO NA LINHA DE ÓLEO","TRANSMISSOR DE PRESSÃO","4-20 mA","-","-","IFM","PN2094",1,"VOTORANTIM","Z2RM7","-","ED-I-Z2000-105","-",,1
"=A274+1","Z2S06TE","-","UNIDADE DE LUBRIFICAÇÃO DO SEPARADOR - Z2S06","TEMPERATURA DE ÓLEO
TANQUE DE ÓLEO","PT-100","RESISTÊNCIA","0°C","150°C","ECIL","TSM10/PT1-S-60-316/316-27-S-200/KNE-21/33/4BI",1,"VOTORANTIM","Z2RM7","-","ED-I-Z2000-104","-",,1
"=A275+1","Z2S07FSL","-","BOMBA DE GRAXA - Z2S07","CICLO CONCLUÍDO","CHAVE FIM DE CURSO","120Vca","-","-","Schneider","XCJ103C",1,"SINOMA","Z2RM7","-","-","Um sensor",,1
"=A276+1","Z2S07LSL","-","BOMBA DE GRAXA - Z2S07","NÍVEL BAIXO DE GRAXA","CHAVE FIM DE CURSO","120Vca","-","-",,,,,,,,,,
"=A277+1","Z2SIR02","-","SIRENE - Z2SIR02","ALARME","SIRENE","120Vca","-","-","TUCANO","SR120-120V",1,"VOTORANTIM","Z2RM2","-","ED-I-Z2000-108","-",,1
"=A278+1","Z2SIR03","-","SIRENE - Z2SIR03","ALARME","SIRENE","120Vca","-","-","TUCANO","SR120-120V",1,"VOTORANTIM","Z2RM5","-","ED-I-Z2000-108","-",,1
"=A279+1","Z2PDT1","-","BAIA SALA ELÉTRICA - Z2","PRESSÃO DIFERENCIAL DA BAIA DO TRAFO","PT-100","RESISTÊNCIA","0°C","150°C","DANFOSS","MBT 5410
000-060-010-0000",1,"VOTORANTIM","Z2RM1","-","ED-I-Z2000-130","-",,5
"=A280+1","Z2TE1","-","BAIA SALA ELÉTRICA - Z2","TEMPERATURA DA BAIA DO TRAFO","PT-100","RESISTÊNCIA","0°C","150°C","DANFOSS","MBT 5410
000-060-010-0000",1,"VOTORANTIM","Z2RM1","-","ED-I-Z2000-104","-",,1
"=A281+1","SU6.2PDT1","-","SU6.2 - SALA ELÉTRICA DE BAIXA - Z2","PRESSÃO DIFERENCIAL DA SALA ELÉTRICA","PT-100","RESISTÊNCIA","0°C","150°C","DANFOSS","MBT 5410
000-060-010-0000",1,"VOTORANTIM","Z2RM1","-","ED-I-Z2000-130","-",,5
"=A282+1","SU6.2TE1","-","SU6.2 - SALA ELÉTRICA DE BAIXA - Z2","TEMPERATURA DA SALA ELÉTRICA","PT-100","RESISTÊNCIA","0°C","150°C","DANFOSS","MBT 5410
000-060-010-0000",1,"VOTORANTIM","Z2RM1","-","ED-I-Z2000-104","-",,5
"=A283+1","SU6.4PDT1","-","SU6.4 - SALA ELÉTRICA DE MÉDIA - Z2","PRESSÃO DIFERENCIAL DA SALA ELÉTRICA","PT-100","RESISTÊNCIA","0°C","150°C","DANFOSS","MBT 5410
000-060-010-0000",1,"VOTORANTIM","Z2RM1","-","ED-I-Z2000-130","-",,5
"=A284+1","SU6.4TE1","-","SU6.4 - SALA ELÉTRICA DE MÉDIA - Z2","TEMPERATURA DA SALA ELÉTRICA","PT-100","RESISTÊNCIA","0°C","150°C","DANFOSS","MBT 5410
000-060-010-0000",1,"VOTORANTIM","Z2RM1","-","ED-I-Z2000-104","-",,5
"=A285+1","SU6.4PDT2","-","SU6.4 - SALA ELÉTRICA DE MÉDIA - Z2
SALA DO HIDROREOSTATO","PRESSÃO DIFERENCIAL DA SALA ELÉTRICA","PT-100","RESISTÊNCIA","0°C","150°C","DANFOSS","MBT 5410
000-060-010-0000",1,"VOTORANTIM","Z2RM1","-","ED-I-Z2000-130","-",,5
"=A286+1","SU6.4TE2","-","SU6.4 - SALA ELÉTRICA DE MÉDIA - Z2
SALA DO HIDROREOSTATO","TEMPERATURA DA SALA ELÉTRICA","PT-100","RESISTÊNCIA","0°C","150°C","DANFOSS","MBT 5410
000-060-010-0000",1,"VOTORANTIM","Z2RM1","-","ED-I-Z2000-129","-",,5
"=A287+1","Z2M05TE3","-","UNIDADE DE LUBRIFICAÇÃO MANCAL DE ENTRADA DO MOINHO - Z2M05","TEMPERATURA AMBIENTE DO TANQUE DA UNIDADE HIDRÁULICA","PT-100","RESISTÊNCIA","0°C","150°C","DANFOSS","MBT 5410
000-060-010-0000",1,"VOTORANTIM","Z2RM1","-","ED-I-Z2000-104","-",,5
"=A288+1","Z2M10TE3","-","UNIDADE DE LUBRIFICAÇÃO MANCAL DE ENTRADA DO MOINHO - Z2M10","TEMPERATURA AMBIENTE DO TANQUE DA UNIDADE HIDRÁULICA","PT-100","RESISTÊNCIA","0°C","150°C","DANFOSS","MBT 5410
000-060-010-0000",1,"VOTORANTIM","Z2RM1","-","ED-I-Z2000-104","-",,2
"=A289+1","Z2M15TE3","-","UNIDADE DE LUBRIFICAÇÃO MANCAL DE ENTRADA DO MOINHO - Z2M15","TEMPERATURA AMBIENTE DO TANQUE DA UNIDADE HIDRÁULICA","PT-100","RESISTÊNCIA","0°C","150°C","DANFOSS","MBT 5410
000-060-010-0000",1,"VOTORANTIM","Z2RM1","-","ED-I-Z2000-104","-",,2
"=A290+1","Z2U05SE","571RF01.SS1","VÁLVULA ROTATIVA - Z2U05","VIGIA DE VELOCIDADE","SENSOR INDUTIVO DE PROXIMIDADE","120Vca","-","-","Schneider","XSAV11801",1,"SINOMA","Z2RM3","-","-","-",,1
"=A291+1","Z2U05SECX","-","VÁLVULA ROTATIVA - Z2U05","CAIXA DE PROTEÇÃO PARA VIGIA DE VELOCIDADE","-","-","-","-","-","CX. Padrão Vigia de Velocidade com anteparo de 2 Aletas (30 a 60 rpm)",1,"VOTORANTIM","-","VCM-0828 IT 02 + VCM-0830","Código de Compra VC: 491550","COMPRAR CONFORME MODELO VOTORANTIM INFORMADO NA COLUNA FOLHA DE DADOS",,1
"=A292+1","Z2U06SE","571RF02.SS1","VÁLVULA ROTATIVA - Z2U06","VIGIA DE VELOCIDADE","SENSOR INDUTIVO DE PROXIMIDADE","120Vca","-","-","Schneider","XSAV11801",1,"SINOMA","Z2RM3","-","-","-",,1
"=A293+1","Z2U06SECX","-","VÁLVULA ROTATIVA - Z2U06","CAIXA DE PROTEÇÃO PARA VIGIA DE VELOCIDADE","-","-","-","-","-","CX. Padrão Vigia de Velocidade com anteparo de 2 Aletas (30 a 60 rpm)",1,"VOTORANTIM","-","VCM-0828 IT 02 + VCM-0830","Código de Compra VC: 491550","COMPRAR CONFORME MODELO VOTORANTIM INFORMADO NA COLUNA FOLHA DE DADOS",,1
"=A294+1","Z2U09LSH","-","REGUEIRA DE SAÍDA DO FILTRO Z2P51 - Z2U09","NÍVEL ALTO","CHAVE DE NÍVEL","120Vca","150mm","300mm","VEGA","VEGAVIB63",1,"VOTORANTIM","Z2RM3","-","ED-I-Z2000-107","-",,1
"=A295+1","Z2U09TE","-","REGUEIRA DE SAÍDA DO FILTRO Z2P51 - Z2U09","TEMPERATURA NA SAÍDA","PT-100","RESISTÊNCIA","0°C","150°C","ECIL","TSM10/PT1-S-60-316/316-27-S-200/KNE-21/33/4BI",1,"VOTORANTIM","Z2RM3","-","ED-I-Z2000-104","-",,1
"=A296+1","Z2U43ZSH","-","VÁLVULA FLAP - Z2U43","ABERTO","SENSOR INDUTIVO DE PROXIMIDADE","120Vca","-","-","TELEMECANIQUE","XS1M30MB250",1,"VOTORANTIM","Z2RM5","-","ED-I-Z2000-103","-",,1
"=A297+1","Z2Y01PT","-","BALÃO DE AR COMPRIMIDO - Z2Y01","PRESSÃO BAIXA 
NA LINHA DE AR COMPRIMIDO","TRANSMISSOR DE PRESSÃO","4-20 mA","-","-","IFM","PN2094",1,"VOTORANTIM","Z2RM2","-","ED-I-Z2000-105","-",,1
"=A298+1","Z2Y01XV","-","BALÃO DE AR COMPRIMIDO - Z2Y01","VÁLVULA DE PURGA","VÁLVULA SOLENOIDE","120Vca","-","-","GHPC","PUT-06-110-D",1,"VOTORANTIM","Z2RM2","-","ED-I-Z2000-111","-",,1
"=A299+1","Z2Y02PT","-","BALÃO DE AR COMPRIMIDO - Z2Y02","PRESSÃO BAIXA 
NA LINHA DE AR COMPRIMIDO","TRANSMISSOR DE PRESSÃO","4-20 mA","-","-","IFM","PN2094",1,"VOTORANTIM","Z2RM2","-","ED-I-Z2000-105","-",,3
"=A300+1","Z2Y02XV","-","BALÃO DE AR COMPRIMIDO - Z2Y02","VÁLVULA DE PURGA","VÁLVULA SOLENOIDE","120Vca","-","-","GHPC","PUT-06-110-D",1,"VOTORANTIM","Z2RM2","-","ED-I-Z2000-111","-",,3
"=A301+1","Z2Y03PT","-","BALÃO DE AR COMPRIMIDO - Z2Y03","PRESSÃO BAIXA 
NA LINHA DE AR COMPRIMIDO","TRANSMISSOR DE PRESSÃO","4-20 mA","-","-","IFM","PN2094",1,"VOTORANTIM","Z2RM2","-","ED-I-Z2000-105","-",,4
"=A302+1","Z2Y03XV","-","BALÃO DE AR COMPRIMIDO -Z2Y03","VÁLVULA DE PURGA","VÁLVULA SOLENOIDE","120Vca","-","-","GHPC","PUT-06-110-D",1,"VOTORANTIM","Z2RM2","-","ED-I-Z2000-111","-",,4
